,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Product Type By Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Cards for AAA - 8001 as of 12/6/2021 3:23 PM ET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holding Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Market Value:,"395,898.24",Accrued Interest*:,0.04,Total Cost:,"230,912.81",Adjusted Cost:,"230,912.81",Total Unrealized Gain/Loss ($):,"158,054.89",Total Unrealized Gain/Loss (%):,68.45,Est. Annual Income:,"6,072.76",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product Type,Name,Open Order,Symbol,CUSIP,Last ($),As Of,Quantity,Market Value ($),Today's Change (%),Today's Change ($),Total Cost ($),Adjusted Cost ($),Unrealized Gain/Loss (%),Unrealized Gain/Loss ($),Accrued Interest,Pays Dividend Flag,Dividend Per Share ($),Current Yield,Maturity Date,% of Portfolio,Coupon Rate (%),Cumulative Cash Distributions ($),Est. Annual Income ($),Moody's Rating,Net Value Inc/Dec (%),Net Value Inc/Dec ($),Price Change (%),Price Change ($),Prior Close - Market Value ($),Prior Close - Last ($),As Of,S&P Rating,Purchases ($),Ex-Dividend Date
Stocks / Options,ALPHABET INC CL A,No,GOOGL,02079K305,"2,869.216",12/06/2021,10.000,"28,692.16",1.03,291.86,"4,519.54","4,519.54",534.85,"24,172.62",-,-,0.00,0.00,-,7.25,-,-,-,-,-,-,1.03,29.19,"28,400.30","2,840.03",12/03/2021,-,-,-
Stocks / Options,APPLE INC,No,AAPL,037833100,165.435,12/06/2021,100.000,"16,543.50",2.22,359.50,"2,807.43","2,807.43",489.28,"13,736.07",-,-,0.88,0.54,-,4.18,-,-,88.00,-,-,-,2.22,3.60,"16,184.00",161.84,12/03/2021,-,-,11/05/2021
Stocks / Options,ARRAY TECHNOLOGIES INC,No,ARRY,04271T100,17.770,12/06/2021,380.000,"6,752.60",5.33,342.00,"6,753.13","6,753.13",-0.01,-0.53,-,-,0.00,0.00,-,1.71,-,-,-,-,-,-,5.33,0.90,"6,410.60",16.87,12/03/2021,-,-,-
Stocks / Options,ASPEN TECHNOLOGY INC,No,AZPN,045327103,149.230,12/06/2021,55.000,"8,207.65",-1.56,-129.80,"7,231.30","7,231.30",13.50,976.35,-,-,0.00,0.00,-,2.07,-,-,-,-,-,-,-1.56,-2.36,"8,337.45",151.59,12/03/2021,-,-,-
Stocks / Options,ATLANTICA SUSTAINABLE,No,AY,G0751N103,37.840,12/06/2021,200.000,"7,567.98",1.20,89.98,"7,828.50","7,828.50",-3.33,-260.52,-,-,1.71,4.58,-,1.91,-,-,343.00,-,-,-,1.20,0.45,"7,478.00",37.39,12/03/2021,-,-,11/29/2021
Stocks / Options,CALAVO GROWERS INC,No,CVGW,128246105,42.000,12/06/2021,93.000,"3,906.00",4.09,153.45,"2,800.44","2,800.44",39.48,"1,105.56",-,-,1.15,2.85,-,0.99,-,-,107.00,-,-,-,4.09,1.65,"3,752.55",40.35,12/03/2021,-,-,11/10/2021
Stocks / Options,DICKS SPORTING GOODS INC,No,DKS,253393102,107.740,12/06/2021,140.000,"15,083.60",-2.82,-438.20,"4,571.17","4,571.17",229.97,"10,512.43",-,-,1.75,1.57,-,3.81,-,-,245.00,-,-,-,-2.82,-3.13,"15,521.80",110.87,12/03/2021,-,-,12/09/2021
Stocks / Options,EL POLLO LOCO HOLDINGS,No,LOCO,268603107,13.610,12/06/2021,500.000,"6,805.00",7.33,465.00,"9,085.10","9,085.10",-25.10,"-2,280.10",-,-,0.00,0.00,-,1.72,-,-,-,-,-,-,7.33,0.93,"6,340.00",12.68,12/03/2021,-,-,-
Stocks / Options,ENCOMPASS HEALTH CORP,No,EHC,29261A100,60.965,12/06/2021,112.000,"6,828.08",3.88,254.80,"5,160.62","5,160.62",32.31,"1,667.46",-,-,1.12,1.90,-,1.72,-,-,125.00,-,-,-,3.88,2.28,"6,573.28",58.69,12/03/2021,-,-,12/31/2021
Stocks / Options,EVERSOURCE ENERGY COM,No,ES,30040W108,86.160,12/06/2021,91.000,"7,840.56",1.01,78.26,"3,794.92","3,794.92",106.61,"4,045.64",-,-,2.41,2.82,-,1.98,-,-,219.00,-,-,-,1.01,0.86,"7,762.30",85.30,12/03/2021,-,-,09/15/2021
Stocks / Options,FMC CORP NEW,No,FMC,302491303,105.950,12/06/2021,70.000,"7,416.50",2.18,158.20,"7,284.05","7,284.05",1.82,132.45,-,-,1.92,1.85,-,1.87,-,-,134.00,-,-,-,2.18,2.26,"7,258.30",103.69,12/03/2021,-,-,09/29/2021
Stocks / Options,GAMING & LEISURE PPTYS INC,No,GLPI,36467J108,46.520,12/06/2021,202.000,"9,397.10",1.77,163.68,"8,213.05","8,213.05",14.42,"1,184.05",-,-,2.68,5.86,-,2.37,-,-,541.00,-,-,-,1.77,0.81,"9,233.42",45.71,12/03/2021,-,-,12/08/2021
Stocks / Options,GENTEX CORP,No,GNTX,371901109,34.610,12/06/2021,280.000,"9,690.80",0.61,58.80,"6,317.20","6,317.20",53.40,"3,373.60",-,-,0.48,1.39,-,2.45,-,-,134.00,-,-,-,0.61,0.21,"9,632.00",34.40,12/03/2021,-,-,10/07/2021
